"Class Name - Live Allocated Objects";"Live Bytes";"Live Objects";"Allocated Objects";"Avg. Age";"Generations"
"com.sun.org.apache.xerces.internal.impl.dv.dtd.IDDatatypeValidator";"8";"1";"1";"18.00";"1"
"com.sun.org.apache.xerces.internal.impl.dv.dtd.ENTITYDatatypeValidator";"8";"1";"1";"18.00";"1"
"org.apache.tika.parser.txt.CharsetRecog_UTF8";"8";"1";"1";"17.00";"1"
"org.apache.tika.parser.txt.CharsetRecog_mbcs$CharsetRecog_euc$CharsetRecog_euc_jp";"8";"1";"1";"17.00";"1"
"org.apache.tika.parser.EmptyParser";"8";"1";"1";"17.00";"1"
"javax.xml.parsers.SecuritySupport";"8";"1";"1";"18.00";"1"
"org.apache.tika.sax.xpath.Matcher";"8";"1";"1";"17.00";"1"
"org.apache.log4j.or.DefaultRenderer";"8";"1";"1";"18.00";"1"
"org.apache.tika.parser.txt.CharsetRecog_Unicode$CharsetRecog_UTF_16_BE";"8";"1";"1";"17.00";"1"
"org.apache.tika.parser.txt.CharsetRecog_Unicode$CharsetRecog_UTF_16_LE";"8";"1";"1";"17.00";"1"
"org.apache.tika.parser.txt.CharsetRecog_Unicode$CharsetRecog_UTF_32_BE";"8";"1";"1";"17.00";"1"
"sun.net.DefaultProgressMeteringPolicy";"8";"1";"1";"18.00";"1"
"org.apache.log4j.DefaultCategoryFactory";"8";"1";"1";"18.00";"1"
"java.io.InputStream[]";"0";"0";"1";"0.00";"0"
"java.io.InputStreamReader";"0";"0";"1";"0.00";"0"
"java.io.FilePermission$1";"0";"0";"1";"0.00";"0"
"java.io.FilePermission";"0";"0";"1";"0.00";"0"
"java.io.FileInputStream";"0";"0";"1";"0.00";"0"
"java.io.FileDescriptor";"0";"0";"1";"0.00";"0"
"java.io.File";"0";"0";"1";"0.00";"0"
"java.io.DataInputStream";"0";"0";"1";"0.00";"0"
"java.io.CharArrayWriter";"0";"0";"5";"0.00";"0"
"java.io.ByteArrayOutputStream";"0";"0";"1";"0.00";"0"
"java.io.ByteArrayInputStream";"0";"0";"7";"0.00";"0"
"java.io.BufferedReader[]";"0";"0";"1";"0.00";"0"
